ind	loc	latitude	longitude	pop	Bio01	Bio02	Bio03	Bio04	Bio05	Bio06	Bio07	Bio08	Bio09	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
PA1245_1	P0095	51.1678	3.7616	BNE	10.475000017633041	6.633333218594392	31.43759762402594	540.9272300693592	20.600000381469727	-0.5	21.100000381469727	7.700000007947286	6.400000189741452	17.1833332379659	4.0500000069538755	776	80	47	17.023834435496134	233	154	199	186
PA1251_1	P0096	50.9363	3.6258	BNE	10.499999955296516	7.383333375056584	33.109118344593014	561.5522307408717	21	-1.2999999523162842	22.299999952316284	7.383333146572113	6.4666666984558105	17.46666669845581	3.7833333611488342	789	82	48	16.124256884191844	234	160	201	189
PA1252_1	P0096	50.9363	3.6258	BNE	10.499999955296516	7.383333375056584	33.109118344593014	561.5522307408717	21	-1.2999999523162842	22.299999952316284	7.383333146572113	6.4666666984558105	17.46666669845581	3.7833333611488342	789	82	48	16.124256884191844	234	160	201	189
PA1263_1	P0189	50.8887	4.6025	BNE	10.44166668256124	7.550000031789144	33.407079222793136	573.3348710383815	21.100000381469727	-1.5	22.600000381469727	7.23333336909612	6.316666821638743	17.616666793823242	3.6000000635782876	774	73	50	11.690745727266876	213	165	206	187
PA1270_1	P0195	52.6744	-6.2973	IRE	9.970833167433739	6.608333220084508	40.29471657257188	370.1440534466192	18.299999237060547	1.899999976158142	16.399999260902405	6.4833332896232605	13.149999698003134	14.733332951863607	5.849999845027924	962	105	57	21.855893696325417	303	180	219	290
PA1272_1	P0195	52.6744	-6.2973	IRE	9.970833167433739	6.608333220084508	40.29471657257188	370.1440534466192	18.299999237060547	1.899999976158142	16.399999260902405	6.4833332896232605	13.149999698003134	14.733332951863607	5.849999845027924	962	105	57	21.855893696325417	303	180	219	290
PA1284_1	P0197	52.2664	-7.1007	IRE	10.225000048677126	6.716666728258133	39.980157224415045	375.83544247984236	18.700000762939453	1.899999976158142	16.80000078678131	6.733333329359691	13.600000222524008	15.066666920979818	6.033333281675975	921	104	53	23.968957862808107	299	171	181	288
PA1284b_1	P0197	52.2664	-7.1007	IRE	10.225000048677126	6.716666728258133	39.980157224415045	375.83544247984236	18.700000762939453	1.899999976158142	16.80000078678131	6.733333329359691	13.600000222524008	15.066666920979818	6.033333281675975	921	104	53	23.968957862808107	299	171	181	288
PA1297_1	P0202	52.4479	-8.0636	IRE	9.949999958276749	7.449999829133351	41.85393341827821	384.4653933177306	18.799999237060547	1	17.799999237060547	6.300000031789144	13.516666571299234	14.949999968210856	5.699999928474426	1238	146	66	28.407015778756932	428	220	236	394
PA1312_1	P0203	52.6686	-8.5583	IRE	10.116666605075201	6.816666662693024	39.86354962477306	381.68486041888883	18.799999237060547	1.7000000476837158	17.09999918937683	6.416666547457377	11.199999888737997	14.999999841054281	5.816666642824809	1066	125	57	27.447541590878558	363	187	221	327
